,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
82,ZiffyHomes,Marketplace,Seed,120000,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018
83,Carmesi,Health Care,Seed,496994,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018
84,OckyPocky,E-Learning,Angel,0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018
85,Racetrack,Artificial Intelligence,Seed,4999174,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018
86,WHR,Health Care,Seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018
87,Asteria Aerospace,Aerospace,Seed,0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018
88,FabAlley,E-Commerce,Series B,8770481,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018
89,Tranzmeo,Artificial Intelligence,Pre-Seed,0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018
90,SBI Life,Insurance,Private Equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018
91,Studds Accessories,E-Commerce,Private Equity,14617468,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018
92,Design Cafe,Home Decor,Series B,29234936,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018
93,NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018
94,Rays Power Infra,Energy,Venture - Series Unknown,29234936,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018
95,AuthMetrik,B2B,Grant,10000,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018
96,Khidki,Artificial Intelligence,Seed,0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018
97,LetsTransport,Logistics,Series B,14617468,Bangalore,Lets transport is a logistics solution provider.,2018
98,Next Digital Solutions,Digital Marketing,Angel,1462,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018
99,Portea Medical,Health Care,Debt Financing,3654367,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018
100,Aavas Financiers,Finance,Post-IPO Debt,29234936,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018
101,Swiggy,Food Delivery,Series H,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018
102,Milkbasket,E-Commerce,Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018
103,Nutrisattva (Proliva),Fitness,Angel,0,Anand,Nutrisattva is a protein innovation compan,2018
104,Toppr,EdTech,Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018
105,Jagaran Microfin,,Debt Financing,8039607,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018
106,Vivriti Capital,Financial Services,Venture - Series Unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018
107,Be U Salons,Apps,Seed,438524,New Delhi,Be U is India's first subscription based Salon Chain.,2018
108,Impact Guru,Creative Agency,Series A,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018
109,MobiKwik,Consumer Lending,Series E,3508192,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018
110,Stones2Milestones,E-Learning,Seed,0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018
111,Generico,Health Care,Series A,0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018
112,Adiuvo Diagnostics,Health Diagnostics,Seed,0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018
113,DataTrained,EdTech,Seed,1754096,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018
114,OneAssist,Financial Services,Debt Financing,2400000,Mumbai,OneAssist is a protection & assistance services platform.,2018
115,Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018
116,APAC Financial Services,Finance,Private Equity,36543670,Mumbai,APAC Financial Services is a financial services platform.,2018
117,Moglix,B2B,Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018
118,SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018
119,MadGuy Labs,E-Learning,Venture - Series Unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018
120,Dee Dee Labs,Embedded Systems,Seed,0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018
121,FLEECA,,Seed,0,Jaipur,FLEECA is a Tyre Care Provider company.,2018
122,Shop101,Apps,Series B,11000000,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018
123,FeedMyPockets,Advertising,Seed,643169,Bangalore City,On Demand Staffing Platform,2018
124,Housejoy,Beauty,Series B,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018
125,Ambee,Health Care,Angel,0,Bangalore,Ambee is an Environment analytics startup.,2018
126,FoodBuddy,Food Delivery,Seed,877048,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018
127,Ninjacart,AgTech,Series B,36543670,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018
128,Olly Smart Credit Card,Credit Cards,Seed,0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018
129,Zestl,Software,Seed,0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018
130,BYJU’S,EdTech,Private Equity,540000000,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018
131,Wakefit,Manufacturing,Venture - Series Unknown,9501354,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018
132,Hero Electric,Manufacturing,Venture - Series Unknown,23387949,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018
133,Pentation Analytics,Information Services,Seed,0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018
134,PerkFinance,Consumer Lending,Seed,900000,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
135,Roposo,Internet,Series C,10000000,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018
136,Plum Goodness,Beauty,Series A,0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018
137,Drstore,Hospital,Seed,0,Mumbai,Drstore is a exclusive e- commerce platform.,2018
138,Wow Venue,Events,Venture - Series Unknown,1500000,Mumbai,Wow Venue is an online platform.,2018
139,Chizel,3D Printing,Seed,0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018
140,OTO Capital,Automotive,Seed,730873,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018
